Simulacion_ID,Precio_Final
160,130.9008
161,122.3364
162,110.3633
163,144.7640
164,99.1843
165,88.7805
166,130.0883
167,76.6902
168,134.4114
169,119.1681
170,111.4453
171,89.3399
172,72.3449
173,125.3700
174,88.5932
175,99.1999
176,123.3828
177,77.9080
178,120.0692
179,116.1730
180,115.5469
181,116.3121
182,110.7761
183,128.2499
184,116.7408
185,117.0233
186,102.2113
187,112.5263
188,111.7887
189,115.8009
190,155.4561
191,87.3305
192,105.2029
193,100.3640
194,102.0785
195,111.8044
196,101.8031
197,131.3237
198,96.7853
199,91.4215
200,115.0136
201,141.3062
202,107.1597
203,122.7326
204,96.0294
205,111.0283
206,106.6072
207,90.9455
208,99.7704
209,127.0743
210,102.1813
211,90.1873
212,116.5196
213,139.1828
214,141.7176
215,101.9312
216,94.6317
217,107.2079
218,111.5526
219,99.9543
220,76.7700
221,104.0495
222,106.0690
223,103.5309
224,120.4194
225,139.7614
226,94.3987
227,88.9972
228,120.6817
229,102.7720
230,117.6003
231,98.7224
232,110.1806
233,94.2251
234,87.2536
235,117.0368
236,91.8768
237,97.7754
238,118.7592
239,138.1286
240,88.4288
241,129.2792
242,114.1559
243,109.3357
244,130.6568
245,110.4240
246,114.6008
247,105.0455
248,82.2789
249,112.2077
250,121.8140
251,109.8216
252,156.3544
253,128.6848
254,148.6495
255,81.6196
256,105.3691
257,107.1372
258,123.1104
259,104.0094
260,109.2324
261,128.6957
262,112.9730
263,117.2497
264,129.0955
265,103.2802
266,79.2512
267,102.7392
268,110.4121
269,103.0415
270,105.3145
271,88.1942
272,98.4549
273,113.1892
274,112.9358
275,114.5590
276,92.9051
277,120.6829
278,98.1627
279,91.7730
280,112.0130
281,143.5153
282,108.1711
283,124.0838
284,101.6546
285,97.9352
286,120.8448
287,101.9556
288,124.9381
289,85.7567
290,92.6785
291,101.8192
292,134.1950
293,101.9486
294,97.6686
295,130.0233
296,106.4264
297,84.4018
298,123.7010
299,101.3363
300,124.0946
301,92.6552
302,129.6082
303,105.6686
304,108.6700
305,137.8220
306,97.4784
307,140.9261
308,117.7012
309,144.1738
310,97.9212
311,119.3352
312,96.8136
313,107.4213
314,105.3047
315,100.4165
316,95.5261
317,98.4804
318,121.3105
319,111.8933
320,123.2055
321,142.2199
322,110.4199
323,112.4511
324,103.7248
325,106.1956
326,100.3058
327,98.3423
328,99.0230
329,98.3095
330,128.4893
331,103.5519
332,117.5904
333,100.5727
334,118.5965
335,130.0464
336,125.4229
337,108.1478
338,112.9224
339,99.1674
340,131.9686
341,100.7667
342,124.8535
343,107.0100
344,130.2721
345,107.0939
346,108.4321
347,140.7567
348,132.5558
349,114.2695
350,116.4564
351,78.3536
352,115.1496
353,83.2659
354,102.2327
355,132.4844
356,127.3171
357,111.0559
358,99.3780
359,71.4346
360,82.0857
361,96.3538
362,100.0052
363,110.2956
364,112.9434
365,147.0105
366,127.4811
367,128.1406
368,99.8743
369,99.1006
370,92.8763
371,108.5864
372,124.1221
373,109.3279
374,87.2776
375,82.0945
376,97.8996
377,133.5437
378,91.3394
379,113.3570
380,114.4759
381,143.0528
382,100.3807
383,117.0255
384,98.9058
385,108.4910
386,106.4897
387,90.3269
388,137.1796
389,105.5405
390,100.2171
391,106.3067
392,98.4479
393,114.9870
394,93.9611
395,129.3137
396,113.2812
397,140.4652
398,119.4299
399,136.5032
400,81.4253
401,105.5304
